Feature,Importance_3,Importance_1,Importance_2,Importance_0,Mean_Importance,Std_Importance,CV,Stability,Robust
close_lag1,0.003737463052877744,0.0026420529264254908,0.0022581095338198684,0.003921488293283782,0.003139778451601721,0.0008151416928321212,0.25961757475420877,0.7403824252457912,False
close_lag3,0.0034046596153382933,0.003784186164661405,0.0026508003968521115,0.0027136745873329138,0.003138330191046181,0.000549569220053376,0.17511516286903436,0.8248848371309656,False
volume_sma_10d,0.0015625010037332515,0.0013204966269516301,0.0006117954942515214,0.008980391363941617,0.003118796122219505,0.00392849786801164,1.2596199264394092,-0.25961992643940923,False
cmf_20d,0.0027224770663803926,0.0032847475554062425,0.0030137386893232137,0.003363678300135429,0.003096160402811319,0.0002907252507626621,0.09389863687579601,0.906101363124204,False
close_lag20,0.0043561116310112495,0.002642807196546796,0.003196926222050434,0.0021647798338199865,0.0030901562208571166,0.0009434838880254091,0.3053191457200181,0.6946808542799818,False
prev_close,0.004666881939240991,0.0026403809809725618,0.00315380997737917,0.0017646204651901162,0.0030564233406957094,0.0012172245710195897,0.3982512877019823,0.6017487122980176,False
low_lag10,0.004915719715738841,0.002223893849243644,0.0031826152347478208,0.0018696681190405301,0.003047974229692709,0.001363098818223792,0.44721466481681854,0.5527853351831815,False
close_lag10,0.005178960186168579,0.0028649532543753536,0.002605776129965756,0.0012405575364721054,0.0029725617767454486,0.0016344360836080469,0.549840895287782,0.450159104712218,False
low_lag5,0.0033815466663250095,0.002035022170783334,0.004209830327866497,0.0020217734836758677,0.002912043162162677,0.0010749311586700607,0.3691329633172226,0.6308670366827773,False
open_lag3,0.003455907694824872,0.002360050260001144,0.003911153885936194,0.0016943153081534666,0.002855356787228919,0.0010113876240593375,0.3542070795363426,0.6457929204636574,False
ema_20,0.003934083783009775,0.0021501262456046543,0.003308309949141645,0.0011710159070452621,0.0026408839712003342,0.0012273519544870727,0.464750409861504,0.5352495901384959,False
is_quarter_1,0.0017660164874351034,0.004740347604480585,0.0009851653544545459,0.0010588758868033197,0.0021376013332933884,0.0017705103524198722,0.8282696319547553,0.17173036804524466,False
low_lag2,0.0036047358263069152,0.001086953074283808,0.0028648730385744444,0.0007746384835920967,0.002082800105689316,0.001370027317188791,0.65778143935576,0.34221856064424006,False
day_of_week,0.001579085846201241,0.0014608676099358159,0.0023549452050037464,0.0010324687777497196,0.0016068418597226307,0.0005512537015456312,0.34306653383683566,0.6569334661631643,False
is_quarter_2,0.002249091658823121,0.0013553347285265552,0.0012161086562344154,0.0008112515326465167,0.0014079466440576522,0.0006063936617618041,0.43069360707081805,0.569306392929182,False
volume_sma_20d,0.0030510486542353805,0.000716226223092071,0.0007250822111613805,0.0009336083158125616,0.0013564913510753483,0.0011341621652545119,0.8360997515726424,0.16390024842735762,False
volume_sma_5d,0.0007566470341132492,0.0011271022677860295,0.0020650361104037865,0.0007373250835421885,0.0011715276239613133,0.0006220902339572933,0.5310076929752934,0.4689923070247066,False
is_quarter_4,0.0032882964642969663,0.00014926285658683366,0.0009085002049135823,0.0,0.0010865148814493456,0.001520798837162986,1.3997035136453726,-0.3997035136453726,False
is_quarter_3,0.002796236091247616,0.0007270841751434911,0.0003489487788654248,0.0004142903965912815,0.0010716398604619533,0.0011615135953567382,1.0838655128687464,-0.08386551286874644,False
pvt,0.0,0.003553740448811708,0.0,0.0,0.000888435112202927,0.0017768702244058542,1.9999997748851046,-0.9999997748851046,False
